name,walking,portrait,dying,battle,out anim rect height,out anim rect width,out anim rows,out anim cols,X,Y,is alive,has spawned,movespeed_out,aggro range in pixels,loot_table( -2 from csv index),hp_atk_def_magic_speed,spawn level
long hair guy,./assets/sprites/monsters/test/walking.png,./assets/sprites/monsters/test/face.png,./assets/sprites/monsters/test/dying.png,./assets/sprites/monsters/test/battler.png,48,47,4,3,900,100,1,0,60,100,17;,40;9;2;2;10;,50
Phoenix,./assets/sprites/monsters/phoenix/cha_birdwalking.png,./assets/sprites/monsters/phoenix/cha_birdhead.png,./assets/sprites/monsters/phoenix/cha_birddead.png,./assets/sprites/monsters/phoenix/cha_birdbattler.png,96,96,4,4,640,64,1,0,120,150,4;4;,120;5;2;5;30;,4
Time Warrior,./assets/sprites/monsters/Timewarrior/walking.png,./assets/sprites/monsters/Timewarrior/battler.png,./assets/sprites/monsters/Timewarrior/battler.png,./assets/sprites/monsters/Timewarrior/battler.png,48,47,4,3,940,450,1,0,60,300,1;3;4;5;11;12;,100;4;2;7;35;,7
Red Winged Knight,./assets/sprites/monsters/RedWingedKnight/walking.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,48,47,4,3,600,260,1,0,60,150,3;5;11;,70;5;7;2;8;,2
Winged Reaper,./assets/sprites/monsters/WingedReaper/walking.png,./assets/sprites/monsters/WingedReaper/battler.png,./assets/sprites/monsters/WingedReaper/battler.png,./assets/sprites/monsters/WingedReaper/battler.png,48,96,4,3,940,200,1,0,60,200,11;19;,100;7;2;7;30;,7
Black Berserker,./assets/sprites/monsters/BlackBerserker/walking.png,./assets/sprites/monsters/BlackBerserker/battler.png,./assets/sprites/monsters/BlackBerserker/battler.png,./assets/sprites/monsters/BlackBerserker/battler.png,48,47,4,3,200,400,1,0,60,0,11;19,150;7;7;1;20;,50
Harpy,./assets/sprites/monsters/Harpy/walking.png,./assets/sprites/monsters/Harpy/battler.png,./assets/sprites/monsters/Harpy/battler.png,./assets/sprites/monsters/Harpy/battler.png,64,64,4,3,400,300,1,0,60,200,1;3;5;,50;2;5;7;20;,5
Juggernaut,./assets/sprites/monsters/Juggernaut/walking.png,./assets/sprites/monsters/Juggernaut/battler.png,./assets/sprites/monsters/Juggernaut/battler.png,./assets/sprites/monsters/Juggernaut/battler.png,64,64,4,3,600,150,1,0,120,0,1;3;5;,150;6;5;0;8;,50
Black Dragon,./assets/sprites/monsters/BlackDragon/walking.png,./assets/sprites/monsters/BlackDragon/battler.png,./assets/sprites/monsters/BlackDragon/battler.png,./assets/sprites/monsters/BlackDragon/battler.png,128,128,4,3,1000,340,1,0,120,0,11;11;,10;1;1;1;1;,50
Flying Skull,./assets/sprites/monsters/FlyingSkull/walking.png,./assets/sprites/monsters/FlyingSkull/battler.png,./assets/sprites/monsters/FlyingSkull/battler.png,./assets/sprites/monsters/FlyingSkull/battler.png,56,56,4,3,640,360,1,0,150,200,24;24;,1;15;40;15;2;,3
Dragon Emperor,./assets/sprites/monsters/DragonEmperor/walking.png,./assets/sprites/monsters/DragonEmperor/battler.png,./assets/sprites/monsters/DragonEmperor/battler.png,./assets/sprites/monsters/DragonEmperor/battler.png,70,100,4,3,630,300,1,0,180,400,21;19;16;18;15;,300;9;9;9;100;,9
Minotaur,./assets/sprites/monsters/Minotaur/walking.png,./assets/sprites/monsters/Minotaur/battler.png,./assets/sprites/monsters/Minotaur/battler.png,./assets/sprites/monsters/Minotaur/battler.png,48,47,4,3,600,360,1,0,60,100,17;17;,60;7;3;0;9;,1
Ifrit,./assets/sprites/monsters/Ifrit/walking.png,./assets/sprites/monsters/Ifrit/battler.png,./assets/sprites/monsters/Ifrit/battler.png,./assets/sprites/monsters/Ifrit/battler.png,79.5,77,4,3,550,100,1,0,60,0,1;3;5;,150;0;10;10;20;,50
Abomination,./assets/sprites/monsters/Abomination/walking.png,./assets/sprites/monsters/Abomination/battler.png,./assets/sprites/monsters/Abomination/battler.png,./assets/sprites/monsters/Abomination/battler.png,70,70,4,3,700,100,1,0,60,0,1;3;5;,200;7;7;0;30;,50
The Fallen,./assets/sprites/monsters/TheFallen/walking.png,./assets/sprites/monsters/TheFallen/battler.png,./assets/sprites/monsters/TheFallen/battler.png,./assets/sprites/monsters/TheFallen/battler.png,64,64,4,4,800,300,1,0,70,300,1;3;5;6;21;,120;5;5;5;10;,6
Minotaur,./assets/sprites/monsters/Minotaur/walking.png,./assets/sprites/monsters/Minotaur/battler.png,./assets/sprites/monsters/Minotaur/battler.png,./assets/sprites/monsters/Minotaur/battler.png,48,47,4,3,611,47,1,0,60,100,17;17;,60;7;3;0;9;,1
Minotaur,./assets/sprites/monsters/Minotaur/walking.png,./assets/sprites/monsters/Minotaur/battler.png,./assets/sprites/monsters/Minotaur/battler.png,./assets/sprites/monsters/Minotaur/battler.png,48,47,4,3,611,660,1,0,60,100,17;17;,60;7;3;0;9;,1
Red Winged Knight,./assets/sprites/monsters/RedWingedKnight/walking.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,48,47,4,3,700,360,1,0,60,100,1;3;5;,70;5;7;2;8;,2
Red Winged Knight,./assets/sprites/monsters/RedWingedKnight/walking.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,48,47,4,3,500,360,1,0,60,100,1;3;5;,70;5;7;2;8;,2
Red Winged Knight,./assets/sprites/monsters/RedWingedKnight/walking.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,48,47,4,3,600,460,1,0,60,100,1;3;5;,70;5;7;2;8;,2
Phoenix,./assets/sprites/monsters/phoenix/cha_birdwalking.png,./assets/sprites/monsters/phoenix/cha_birdhead.png,./assets/sprites/monsters/phoenix/cha_birddead.png,./assets/sprites/monsters/phoenix/cha_birdbattler.png,96,96,4,4,640,660,1,0,120,100,4;4;,120;5;2;5;30;,4
long hair guy,./assets/sprites/monsters/test/walking.png,./assets/sprites/monsters/test/face.png,./assets/sprites/monsters/test/dying.png,./assets/sprites/monsters/test/battler.png,48,47,4,3,611,47,1,0,60,300,1;3;5;,40;9;2;2;10;,5
Harpy,./assets/sprites/monsters/Harpy/walking.png,./assets/sprites/monsters/Harpy/battler.png,./assets/sprites/monsters/Harpy/battler.png,./assets/sprites/monsters/Harpy/battler.png,64,64,4,3,500,450,1,0,60,300,1;3;5;,50;2;5;7;20;,5
Harpy,./assets/sprites/monsters/Harpy/walking.png,./assets/sprites/monsters/Harpy/battler.png,./assets/sprites/monsters/Harpy/battler.png,./assets/sprites/monsters/Harpy/battler.png,64,64,4,3,500,300,1,0,60,300,1;3;5;,50;2;5;7;20;,5
Harpy,./assets/sprites/monsters/Harpy/walking.png,./assets/sprites/monsters/Harpy/battler.png,./assets/sprites/monsters/Harpy/battler.png,./assets/sprites/monsters/Harpy/battler.png,64,64,4,3,500,150,1,0,60,300,1;3;5;,50;2;5;7;20;,5
long hairguy,./assets/sprites/monsters/test/walking.png,./assets/sprites/monsters/test/face.png,./assets/sprites/monsters/test/dying.png,./assets/sprites/monsters/test/battler.png,48,47,4,3,620,600,1,0,60,300,1;3;5;,40;9;2;2;10;,5
The Fallen,./assets/sprites/monsters/TheFallen/walking.png,./assets/sprites/monsters/TheFallen/battler.png,./assets/sprites/monsters/TheFallen/battler.png,./assets/sprites/monsters/TheFallen/battler.png,64,64,4,4,500,700,1,0,70,300,1;3;5;6;21;,120;5;5;5;10;,6
Red Winged Knight,./assets/sprites/monsters/RedWingedKnight/walking.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,48,47,4,3,700,360,1,0,60,100,1;3;5;11;,70;5;7;2;8;,7
Red Winged Knight,./assets/sprites/monsters/RedWingedKnight/walking.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,48,47,4,3,500,360,1,0,60,100,1;3;5;11;,70;5;7;2;8;,7
Red Winged Knight,./assets/sprites/monsters/RedWingedKnight/walking.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,48,47,4,3,600,460,1,0,60,100,1;3;5;,70;5;7;2;8;,7
Red Winged Knight,./assets/sprites/monsters/RedWingedKnight/walking.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,48,47,4,3,600,260,1,0,60,150,3;5;11;,70;5;7;2;8;,7
Red Winged Knight,./assets/sprites/monsters/RedWingedKnight/walking.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,48,47,4,3,350,600,1,0,70,100,11;11;,70;5;7;2;8;,7
Red Winged Knight,./assets/sprites/monsters/RedWingedKnight/walking.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,48,47,4,3,350,100,1,0,60,100,11;11;,70;5;7;2;8;,7
Red Winged Knight,./assets/sprites/monsters/RedWingedKnight/walking.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,./assets/sprites/monsters/RedWingedKnight/battler.png,48,47,4,3,1210,330,1,0,60,100,1;3;5;,70;5;7;2;8;,5
long hair guy,./assets/sprites/monsters/test/walking.png,./assets/sprites/monsters/test/face.png,./assets/sprites/monsters/test/dying.png,./assets/sprites/monsters/test/battler.png,48,47,4,3,900,100,1,0,60,100,17;17;,40;9;2;2;10;,0
long hair guy,./assets/sprites/monsters/test/walking.png,./assets/sprites/monsters/test/face.png,./assets/sprites/monsters/test/dying.png,./assets/sprites/monsters/test/battler.png,48,47,4,3,900,100,1,0,60,100,17;17;,40;9;2;2;10;,50